"sample","n_dino_asvs_rarefied"
"SRR14698603",96
"SRR14698625",83
"SRR14698602",34
"SRR14698627",93
"SRR14698629",84
"SRR14698599",107
"SRR14698598",88
"SRR14698597",127
"SRR14698658",35
"SRR14698594",104
"SRR14698660",99
"SRR14698662",49
"SRR14698593",120
"SRR14698592",91
"SRR14698568",42
"SRR14698591",82
"SRR14698590",25
"SRR14698589",96
"SRR14698588",38
"SRR14698587",126
"SRR14698663",131
"SRR14698665",48
"SRR14698566",106
"SRR14698567",49
"SRR14698569",97
"SRR14698666",94
"SRR14698667",46
"SRR14698570",75
"SRR14698571",64
"SRR14698584",71
"SRR14698583",43
"SRR14698582",81
"SRR14698581",107
"SRR14698669",32
"SRR14698670",57
"SRR14698580",65
"SRR14698579",39
"SRR14698578",107
"SRR14698671",102
"SRR14698673",53
"SRR14698577",133
"SRR14698576",92
"SRR14698575",105
"SRR14698674",140
"SRR14698675",136
"SRR14698574",40
"SRR14698573",89
"SRR14698572",110
"SRR14698676",49
"SRR14698680",112
"SRR14698681",93
"SRR14698682",46
"SRR14698612",118
"SRR14698614",116
"SRR14698683",44
"SRR14698684",95
"SRR14698685",96
"SRR14698615",52
"SRR14698616",114
"SRR14698618",66
"SRR14698686",45
"SRR14698688",108
"SRR14698690",102
"SRR14698691",112
"SRR14698692",39
"SRR14698693",91
"SRR14698694",82
"SRR14698696",36
"SRR14698697",93
"SRR14698698",87
"SRR14698699",44
"SRR14698700",103
"SRR14698701",111
"SRR14698702",59
"SRR14698704",115
"SRR14698705",49
"SRR14698707",114
"SRR14698708",106
"SRR14698710",114
"SRR14698711",26
"SRR14698712",77
"SRR14698714",114
"SRR14698716",90
